orig_name,normalized,source,cand_1,score_1,cand_2,score_2,cand_3,score_3
ÖMERLİ BARAJI,ÖMERLİ BARAJI,map,,,,,,
KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,secim,,,,,,
