il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AK PARTİ,ALİ FUAT YILMAZER,ANADOLU PARTİSİ,BTP,CHP,DP,DSP,DYP,ERSAN GÖKGÖZ,GÜNSEL AVCI,HAK-PAR,HDP,HKP,KP,KURTULUŞ ALADOGAN,LDP,LEVENT SEKBAN,MEHMET SAİT DURMUŞ,MEP,METE GÜNDOĞAN,METİN KAYA,MHP,MİHRİYE NEVRA ÖLÇER,MİLLET,RECEP DİNLER,SAADET,SAADET YILMAZ,SEÇKİN İLKER,TURK PARTİ,VATAN PARTİSİ,YALÇIN KARADAŞ,YILMAZ KARABUL,YURT-P,İLBAY ÇEP
İSTANBUL,PENDİK,AHMET YESEVİ MAH.,AHMET YESEVİ,45,13334,18.455971061351644,0.5198427654326512,0.0066236785541957275,0.06180269850106262,11.919484715895697,0.009992595396322104,0.06027873032514754,0.05086648123092095,0.010254919941603569,0.003134796238244514,0.02383069201775959,8.38895041109576,0.054093310358852335,0.006794821679045276,0.0,0.023592266923703312,0.01661950588416224,0.08169929063882306,0.020124253788287368,0.003389830508474576,0.10221682853253454,3.9060374051353492,0.013557620930208758,0.016662259997632975,0.017247273287606488,1.0007601724208575,0.003424657534246575,0.0031746031746031746,0.10667541015175395,0.06906443668422615,0.027142803125448825,0.0033222591362126247,0.003355704697986577,0.010011739428976454
İSTANBUL,PENDİK,BAHÇELİEVLER MAH.,BAHÇELİEVLER,26,7340,9.814205654167734,0.8303743444170948,0.01403924788809029,0.05331421796802884,9.084876954163986,0.02124455942039852,0.038799263974049966,0.007294711666223757,0.003246753246753247,0.004291845493562232,0.019888555394958374,0.9232431945449099,0.0070546956651570195,0.014683826227315067,0.0,0.010525065336184367,0.0,0.017016534168021156,0.0,0.0,0.05737536646621054,4.178688595567632,0.04136097760586019,0.0,0.01025139866514901,0.645789327763529,0.0,0.0,0.021571871056024965,0.14851904751522269,0.003246753246753247,0.0037735849056603774,0.018129408861174316,0.007194244604316547
İSTANBUL,PENDİK,BALLICA MAH.,BALLICA,1,289,0.5190311418685121,0.0034602076124567475,0.0,0.0034602076124567475,0.23529411764705882,0.0034602076124567475,0.0034602076124567475,0.0,0.0,0.0,0.0,0.03460207612456748,0.0034602076124567475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1522491349480969,0.0,0.0,0.0,0.03806228373702422,0.0,0.0,0.0,0.0034602076124567475,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,BATI MAH.,BATI,32,9642,7.4368231009448795,0.5177972374080717,0.013227887058746318,0.042066728094470374,16.78472086012547,0.01956987572722471,0.03288473809562148,0.019287622882952188,0.0,0.01813745527038559,0.006484361863124264,1.3577546029104317,0.0066851441241685145,0.009839971540497141,0.0036363636363636364,0.04492863848032218,0.0030211480362537764,0.04032403602684118,0.0167205883661719,0.0,0.029606255905224282,4.600951441587482,0.0164287981861479,0.0,0.0,0.4970980736372319,0.0,0.0033444816053511705,0.020748295306991398,0.41558622171342835,0.009479676516204403,0.0,0.013184605955081183,0.019661788994857748
İSTANBUL,PENDİK,DOĞU MAH.,DOĞU,34,10288,12.084775169471046,0.8097685253321325,0.02624704376763025,0.03601738122295806,13.479179677110475,0.020954161309157077,0.02610701491156899,0.009878410472288506,0.0,0.03251720284131739,0.01697551393660532,1.3328495539397873,0.01641417473562655,0.026307273109873852,0.0,0.023833354082511516,0.0033003300330033004,0.06252888343557202,0.006535947712418301,0.006724206013425847,0.09690039646654781,4.699309356225841,0.02293586934788728,0.006329684417158252,0.006289308176100629,0.8112101760818808,0.0033003300330033004,0.0035971223021582736,0.039853793371511397,0.2429344171009456,0.0099120890643382,0.010274056476696627,0.0,0.026239577498532497
İSTANBUL,PENDİK,DUMLUPINAR MAH.,DUMLUPINAR,48,14278,26.68121340646713,0.9200337591563915,0.0034602076124567475,0.11289549908229508,7.717436364729665,0.03416317939497567,0.14656215767089464,0.017449413155878894,0.0,0.02028772064630424,0.08556385986704577,3.0362139634227443,0.0377116287063907,0.016051375289426323,0.006863506863506863,0.02062646706259547,0.006475815240171012,0.08186675586470585,0.038040617213140525,0.0033444816053511705,0.20767109726306804,6.928550112521506,0.02344313184726924,0.0031645569620253164,0.003205128205128205,1.5302787427961666,0.0030864197530864196,0.0031446540880503146,0.15145327267121578,0.13961355045500615,0.013617496931351765,0.0,0.006511657455053681,0.0
İSTANBUL,PENDİK,EMİRLİ MAH.,EMİRLİ,1,172,0.4883720930232558,0.0,0.0,0.005813953488372093,0.1569767441860465,0.0,0.0,0.005813953488372093,0.005813953488372093,0.0,0.0,0.05232558139534884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27325581395348836,0.0,0.0,0.0,0.011627906976744186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,30,8701,12.916150099018312,0.2169463886077444,0.010247413949549332,0.0515864656821578,7.574851952226655,0.03473021620749874,0.09257205818573777,0.04489291802324709,0.003484320557491289,0.003278688524590164,0.034138283976643244,3.6288217477004783,0.06006294490154904,0.0067388961370469114,0.0,0.020622780304670334,0.01753435314521698,0.06921090119058787,0.013693967109531184,0.0,0.08492252931405204,3.8422293703930377,0.010313979298096769,0.01092627358271914,0.0,1.0589776641507875,0.003278688524590164,0.0035211267605633804,0.13772971529682304,0.021415615400884352,0.01009896144124332,0.0,0.01702168038849643,0.0
İSTANBUL,PENDİK,ESENLER MAH.,ESENLER,54,16704,31.857228657933504,1.0685366333714488,0.006371753246753247,0.07139690529468508,8.056483537657947,0.016461400989883655,0.08716296512376022,0.01591760770349173,0.0,0.01264296481072881,0.04227608822626134,4.592408144573729,0.05200625473410606,0.006280688607994321,0.0,0.016038723466465052,0.009514019273431169,0.07786371367717132,0.012896073012260034,0.003125,0.18074402653173982,5.685481481296112,0.01360700912154259,0.0,0.009615450467643229,1.8661832361161241,0.0,0.006504082236981261,0.12815066550580098,0.06358989634514084,0.025117264203308346,0.0,0.01313842748175942,0.003257328990228013
İSTANBUL,PENDİK,ESENYALI MAH.,ESENYALI,25,7403,14.91176855305254,0.44245655146322294,0.013964498680571502,0.05339665867341987,3.8758637934040245,0.009995565901784725,0.05591439958072154,0.017220608611046836,0.0,0.0,0.016867539942823473,1.0945115197516109,0.03789386263329386,0.007205525964516672,0.0,0.010644338036023791,0.0035587188612099642,0.04846435725053415,0.016865630903049426,0.006922600324087313,0.07694572931448457,3.255819253068484,0.010336987321721416,0.0034129692832764505,0.003215434083601286,0.9185274960156251,0.0037174721189591076,0.0,0.04395719045054498,0.05018998700472596,0.003484320557491289,0.0,0.006878437746604949,0.0
