il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,DOĞU PERİNÇEK,MERAL AKŞENER,MUHARREM İNCE,RECEP TAYYİP ERDOĞAN,SELAHATTİN DEMİRTAŞ,TEMEL KARAMOLLAOĞLU
İSTANBUL,PENDİK,AHMET YESEVİ MAH.,AHMET YESEVİ,50,15649,0.0700407373988914,1.5549993753811129,16.919169246465575,26.186568478980835,4.966268279872343,0.30295388190124306
İSTANBUL,PENDİK,BAHÇELİEVLER MAH.,BAHÇELİEVLER,25,8150,0.05239886230518788,1.8941874039622915,10.537444166037247,11.823283153319226,0.38948797350916176,0.3031984408668861
İSTANBUL,PENDİK,BALLICA MAH.,BALLICA,1,287,0.0,0.08013937282229965,0.2961672473867596,0.6132404181184669,0.010452961672473868,0.0
İSTANBUL,PENDİK,BATI MAH.,BATI,32,10114,0.11508572103563784,2.3440354914737385,19.683668083129177,9.29112134890346,0.33383967853842006,0.2322496769195668
İSTANBUL,PENDİK,DOĞU MAH.,DOĞU,32,10396,0.06656294018442539,2.4855094284729815,15.359235763521903,13.240988354280514,0.4726426689055882,0.3750608446345868
İSTANBUL,PENDİK,DUMLUPINAR MAH.,DUMLUPINAR,50,15770,0.10594613991613021,2.5945184594414212,10.172768364706537,34.698376026114076,1.875583452779624,0.5528075570422104
İSTANBUL,PENDİK,EMİRLİ MAH.,EMİRLİ,1,185,0.0,0.08108108108108109,0.23243243243243245,0.6810810810810811,0.0,0.005405405405405406
İSTANBUL,PENDİK,ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,28,8992,0.04053171996872161,1.1773750312235867,8.055003305435271,16.48627637433684,1.9718130025087286,0.269000566526851
İSTANBUL,PENDİK,ESENLER MAH.,ESENLER,58,19137,0.05465255529981367,2.207590187607593,11.708449269246303,40.4658607306092,2.7931710075674245,0.7702762496696631
İSTANBUL,PENDİK,ESENYALI MAH.,ESENYALI,26,8302,0.018756497601488703,1.3391214100039854,5.189432485945045,18.351548648538177,0.743126336271028,0.35801462164027625
İSTANBUL,PENDİK,FATİH MAH.,FATİH,39,12189,0.047774310774893664,1.4021563512364552,9.644826979839932,24.987162204184457,2.5557888000440276,0.3622913539202315
İSTANBUL,PENDİK,FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,70,22909,0.08281653278214776,3.490363396792283,11.022483126424026,51.896776310478266,2.235750895449742,1.271809738073537
İSTANBUL,PENDİK,GÖÇBEYLİ MAH.,GÖÇBEYLİ,3,701,0.00423728813559322,0.12766373629269523,0.3141894329597739,2.5071770214843196,0.021451222167355705,0.025281298960262072
İSTANBUL,PENDİK,GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,27,8745,0.04242912210897684,1.1072202698656424,6.361469850313175,18.167736027214897,1.0776245260610302,0.24352020443627714
