il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AB PARTİ,ABP,AK PARTİ,BTP,BÜYÜK BİRLİK,CHP,DEVA PARTİSİ,DP,DSP,EMEP,GELECEK PARTİSİ,HKP,HÜDA PAR,MEMLEKET,MİLLET,SAADET,SOL PARTİ,TKH,TKP,TİP,VATAN PARTİSİ,YENİDEN REFAH,ZAFER PARTİSİ,İYİ PARTİ
İSTANBUL,PENDİK,AHMET YESEVİ MAH.,AHMET YESEVİ,63,15940,0.058990917232341865,0.02413499086257391,23.79336423343483,0.11399457087197065,0.43020982210926767,30.056221601611508,0.1962420933147409,0.08746660363355717,0.1386319345816924,0.36829692128778996,0.15967412125223152,0.02379923167784819,0.3028421990480406,0.2275274971809743,0.05077361394523525,0.6506537213397328,0.26340325718952773,0.032220790469713205,0.08707306635330846,0.3197434469728608,0.04785552212836204,3.1163233741364653,1.860145039126464,0.5904114302389646
İSTANBUL,PENDİK,BAHÇELİEVLER MAH.,BAHÇELİEVLER,29,7856,0.0038461538461538464,0.011285998672859987,10.280060211185654,0.029398840008177076,0.3184328391081221,14.832719068185348,0.09185891066033089,0.007299367299367299,0.014397364772225738,0.03638159387615679,0.04109903936768177,0.004,0.0589047317111423,0.12990396177300537,0.018479607742054652,0.235003992918127,0.011153411566610294,0.02571146577820605,0.022261477021892184,0.161234715476527,0.0484716561997636,0.8674612020663286,1.2223161291919078,0.5283182615723574
İSTANBUL,PENDİK,BALLICA MAH.,BALLICA,2,420,0.0,0.0,1.047824213700991,0.004784688995215311,0.004739336492890996,0.6903331141295721,0.0,0.0,0.0,0.0,0.004739336492890996,0.0,0.0,0.009478672985781991,0.0,0.03809610195242523,0.0,0.0,0.004784688995215311,0.004739336492890996,0.009478672985781991,0.08567087689063244,0.06671353091906845,0.028617428966643235
İSTANBUL,PENDİK,BATI MAH.,BATI,31,8458,0.0037174721189591076,0.0035335689045936395,7.132239365321769,0.0507792123417568,0.19754532194943872,20.381900454337703,0.0626836500956169,0.007294429708222812,0.025532281910599027,0.033696520416247884,0.054769435453856784,0.0,0.02940224279443328,0.08180804484244636,0.0,0.241303959967698,0.014437820531113178,0.007395762132604238,0.05538136013428101,0.21831166774398003,0.039920222282404404,0.4454130546381249,1.3004514997537668,0.6124826526203836
İSTANBUL,PENDİK,DOĞU MAH.,DOĞU,35,9460,0.007327580422208205,0.010937688725457303,11.843205930419094,0.03715190337042672,0.26602092561189744,18.731009650823992,0.095392357865476,0.021946621398475256,0.007633698993342365,0.0294682209913663,0.07337868286099143,0.014631207599281009,0.05829453887632294,0.2085025993811985,0.0035971223021582736,0.5228644860922691,0.011016915643213577,0.014793041731575262,0.018993257462998223,0.1892885100536367,0.036652784691956763,0.8382566127817653,1.3337397852017272,0.6258958766991687
İSTANBUL,PENDİK,DUMLUPINAR MAH.,DUMLUPINAR,58,15325,0.041787801004681976,0.03431021057240377,29.78753719179388,0.1091227748698676,0.8592772981070995,18.88667292391337,0.12722432661021155,0.02976442896040577,0.08164244455089026,0.05355451168580803,0.0841389542729019,0.030521981214757233,0.19492201757116898,0.31129653132751217,0.02351021131378671,0.9211515066556256,0.0756822654547973,0.038762940618306624,0.06748710558145458,0.12124583825598752,0.02682037138428933,3.147740963516906,2.0585526742656532,0.8872727264982307
İSTANBUL,PENDİK,EMİRLİ MAH.,EMİRLİ,1,169,0.0,0.0,0.41420118343195267,0.0,0.0,0.4437869822485207,0.0,0.005917159763313609,0.0,0.0,0.0,0.005917159763313609,0.005917159763313609,0.0,0.0,0.005917159763313609,0.0,0.0,0.0,0.0,0.0,0.023668639053254437,0.029585798816568046,0.0650887573964497
İSTANBUL,PENDİK,ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,28,7508,0.02194576565792939,0.02592116308903371,9.318137322994195,0.045168924560950015,0.8170641437907662,14.091072807980288,0.07211991753032863,0.04478428155982668,0.058153536143763895,0.05572031330809517,0.05883963968200803,0.007915154548867476,0.06342804994755814,0.10572303626770167,0.026884847701360966,0.42510736943866234,0.03392435312368122,0.018240052012563734,0.022669644015788866,0.09521180736430047,0.03408694241111224,1.5053868877712595,0.7199811977113807,0.332512841388579
İSTANBUL,PENDİK,ESENLER MAH.,ESENLER,70,18296,0.04206180585452098,0.015392847833715731,37.63725872810587,0.1319243567903089,1.1373504150066716,20.7351737792831,0.196181834033199,0.07713830967766117,0.03448126930828089,0.11964841568643332,0.05333266383177032,0.0226697827112407,0.13373713807438972,0.29212757908855713,0.04948443767079349,1.3177870746575293,0.07993093005587623,0.0491290236362381,0.0883064296686449,0.21131398624600953,0.030231921540372606,4.020062913545545,2.6326710076466115,0.8926033500466559
İSTANBUL,PENDİK,ESENYALI MAH.,ESENYALI,30,7631,0.007972683236718812,0.004048582995951417,15.784121108067227,0.03114452162744112,0.34768214832926697,9.016703452981412,0.11336448358338919,0.019790306622051338,0.042975293137575844,0.035684306604970586,0.04707747051545066,0.01615550123494513,0.09293728288871196,0.16188259421899243,0.015651149128971996,0.41760850256056015,0.012114279394032562,0.015674100645388926,0.02262625982943887,0.08803349134424274,0.01991605999686434,1.95112699306905,1.3732652396658072,0.3624441883215377
İSTANBUL,PENDİK,FATİH MAH.,FATİH,44,11454,0.0964061389512982,0.0,20.879874522925803,0.08769042292278,0.49167715585152494,15.797453399565896,0.1542636863645773,0.018843256366336932,0.05389297795139479,0.13075539774966108,0.07315949045693833,0.007881834543536276,0.18237029039972924,0.15670077472297408,0.029724825767357025,0.5748346927263055,0.10597069371587103,0.01899281986173744,0.03815517990162375,0.1570382380109144,0.04977117110174045,2.9326017790611916,1.5184957602706095,0.44344549081019896
İSTANBUL,PENDİK,FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,81,21564,0.03744019746643891,0.034444155818970056,44.96487020109525,0.1841960293399718,1.267681249810926,22.26270723872491,0.19601961218561487,0.0569487432645822,0.06748954406881112,0.10556306322929757,0.09424017093011355,0.030242662305588388,0.24675324795743747,0.3724165571126369,0.038699635413363895,1.6956994293109062,0.10472229029243282,0.06036978612800718,0.08976649456469854,0.1863492559551954,0.0500636483274857,4.508250824543945,3.0591574004388935,1.285908561714522
İSTANBUL,PENDİK,GÖÇBEYLİ MAH.,GÖÇBEYLİ,3,910,0.0,0.003215434083601286,1.2197182663860984,0.006675641696058034,0.04998641542805399,1.179218619728531,0.016108287522041284,0.0032258064516129032,0.006430868167202572,0.0,0.006430868167202572,0.0032258064516129032,0.016577089843728972,0.009667046986827093,0.0,0.013361655760127685,0.0034602076124567475,0.0034602076124567475,0.006920415224913495,0.003215434083601286,0.006686014064069651,0.15781726615245084,0.04676060897644109,0.2378380396009115
