il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AB PARTİ,ABP,AK PARTİ,BTP,BÜYÜK BİRLİK,CHP,DEVA PARTİSİ,DP,DSP,EMEP,GELECEK PARTİSİ,HÜDA PAR,MEMLEKET,MİLLET,OCAK,SAADET,TKP,URAS KARADENİZ,VATAN PARTİSİ,YENİDEN REFAH,YTP,ZAFER PARTİSİ,ÜMİT DEMİR,İYİ PARTİ
İSTANBUL,PENDİK,AHMET YESEVİ MAH.,AHMET YESEVİ,63,15965,0.051107288535692734,0.019598559831661647,24.32135474741706,0.09347064977162868,0.3238290801040098,31.137047966351517,0.16504212756991873,0.0730905116778467,0.07989499168150592,0.26079540701344883,0.06355272620496871,0.30901616555657097,0.1920708903000652,0.043176848704653686,0.019110867960785444,0.5485375290113271,0.13471874864783906,0.03970639660635916,0.04771315762263975,2.900269932860902,0.06264946082039255,1.5327229608665447,0.12160204820999658,0.459920936672666
İSTANBUL,PENDİK,BAHÇELİEVLER MAH.,BAHÇELİEVLER,29,7850,0.0,0.004098360655737705,10.609364111423936,0.025631291842292413,0.27689489311115284,15.458717273902755,0.06667827518485596,0.0183808669610412,0.014341246086311344,0.0360456724758702,0.0071339555939876394,0.05448200979924488,0.0869491391920932,0.022237176196157168,0.0,0.18807127754209854,0.02526905042070873,0.06951051275789583,0.021993238125502787,0.6911907011767634,0.02958172477449851,0.8642746371742568,0.09148456998005351,0.3376700156227864
İSTANBUL,PENDİK,BALLICA MAH.,BALLICA,2,432,0.0,0.004651162790697674,1.0927446147251099,0.0,0.0,0.6943735933983496,0.0,0.0,0.0,0.0,0.0,0.0,0.004608294930875576,0.0,0.0,0.023170078233844177,0.004651162790697674,0.004651162790697674,0.009216589861751152,0.08316364805487086,0.004651162790697674,0.05090558353874183,0.0,0.023212946093666274
İSTANBUL,PENDİK,BATI MAH.,BATI,31,8484,0.003703703703703704,0.007377516915301214,7.43362528126433,0.025103837724840074,0.15377297064251777,21.217635319678283,0.04388576933300763,0.014935658691335597,0.025404158456940135,0.04378975298416728,0.003787878787878788,0.028864993839114936,0.05240284176773396,0.0,0.0,0.1540959827281175,0.04751815384615328,0.036005510564937955,0.036258650563099404,0.3433238763279913,0.03616221464672056,0.8743847546757306,0.04757365067191503,0.37038752218617865
İSTANBUL,PENDİK,DOĞU MAH.,DOĞU,35,9412,0.007194616977225673,0.01107634593529051,12.214149238263756,0.036781696193826346,0.2226905653744717,19.68763990616042,0.08467648765497555,0.010443701378635888,0.0,0.02974076752486467,0.0,0.04436058738395378,0.16864765236959764,0.007235189449445258,0.0,0.446127524609985,0.04524644671267874,0.047999433399567124,0.0331277609435958,0.583687832037924,0.011486864094834303,0.8694701018872453,0.0518714919281036,0.3863457897196025
İSTANBUL,PENDİK,DUMLUPINAR MAH.,DUMLUPINAR,58,15282,0.028039596841780666,0.01881561490302235,30.64486438911102,0.09376759980377188,0.6106926987028704,19.732630888853024,0.08409299513999494,0.038499033288278826,0.05020831329598754,0.03410882667210511,0.022871931909497364,0.1462670749431647,0.1804837383106478,0.015957026314044633,0.0,0.7234688985465785,0.056314091409393516,0.09817911286400118,0.034940535714891696,2.8637267368759844,0.043509923552343135,1.598169789222072,0.22777107350870418,0.6526201102168204
İSTANBUL,PENDİK,EMİRLİ MAH.,EMİRLİ,1,167,0.0,0.0,0.39520958083832336,0.0,0.0,0.5269461077844312,0.0,0.005988023952095809,0.0,0.005988023952095809,0.0,0.011976047904191617,0.0,0.0,0.0,0.0,0.005988023952095809,0.0,0.0,0.017964071856287425,0.005988023952095809,0.011976047904191617,0.0,0.011976047904191617
İSTANBUL,PENDİK,ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,28,7517,0.026251091509778727,0.02986316522622589,8.873107034148042,0.04588687401972968,0.7636870191781409,15.051490872792698,0.07475235112072279,0.02536554584863007,0.06211122548720643,0.04859315516524384,0.01842370109865572,0.04876775162027638,0.0906429676995408,0.007905138339920948,0.0073264005367326395,0.3443163373311063,0.0182320742637222,0.06729602649839615,0.05243173982554867,1.359343005444731,0.02667092427210746,0.49563849390579895,0.20082772247027264,0.26106938219677245
İSTANBUL,PENDİK,ESENLER MAH.,ESENLER,70,18367,0.030335432947981543,0.026607826298412848,38.59006952154234,0.10407666683918558,0.95888744998165,21.54922549697221,0.14486592747887408,0.05453619298997079,0.057062730392924955,0.10348848022646553,0.019192298825288834,0.12184058725369157,0.2553045218059008,0.033446602010760884,0.007380174291938998,1.1038019112520727,0.09925515194447643,0.08794169115503266,0.026639967682643304,3.6555126043381456,0.046544587689743296,1.9768978330187181,0.2473837003306141,0.6997026427309591
İSTANBUL,PENDİK,ESENYALI MAH.,ESENYALI,30,7658,0.011682326226075674,0.007824439146647107,15.998111195055191,0.046626031399234096,0.29789640361188213,9.42951097062847,0.04685544278030577,0.0230904779738227,0.0897003925351968,0.016057717250324254,0.01926080220603864,0.11593251038822051,0.121429696327624,0.01551676859588717,0.0,0.4001615332297094,0.019239761146294793,0.008012820512820512,0.02462285568039086,1.78377753462268,0.023636751418027707,1.1216312823534578,0.10124277132114579,0.27817951559055176
