il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AB,AK PARTİ,ANAP,AP,ATA İTTİFAKI,BBP,CHP,CUMHUR İTTİFAKI,EMEK VE ÖZGÜRLÜK İTTİFAKI,FAHRİ SAFA KÜPCÜ,GBP,GENÇPARTİ,HAK-PAR,HKP,MEMLEKET,MHP,MİLLET,MİLLET İTTİFAKI,MİLLİ YOL,NİMETULLAH ERŞAHİN,SOL PARTİ,SOSYALİST GÜÇ BİRLİĞİ İTTİFAKI,TKH,TKP,TUNCAY TAŞÇI,TURGAY KARAKUŞ,TİP,VATAN PARTİSİ,YENİDEN REFAH,YEŞİL SOL PARTİ,YP,ZAFER PARTİSİ,ÜZEYFE OKUR,İYİ PARTİ
İSTANBUL,PENDİK,AHMET YESEVİ MAH.,AHMET YESEVİ,59,19294,0.04049048753608761,21.396727428852945,0.05571006464550201,0.09530252976921524,0.006185704998279093,0.41109098071766487,15.960051832048093,0.33303748137575073,0.027003619066982672,0.0,0.024255878742872224,0.13643633350892412,0.030995051465094806,0.012328861534016453,0.5123594747092105,4.2788295204442,0.03067298114029021,0.12292098851451047,0.005991461270763821,0.0,0.11246143981807308,0.0,0.02518466277587615,0.06443535101295401,0.0,0.0,1.9084030740692213,0.027824429082815405,2.0438604276869863,7.1640634603724,0.0,1.6591670711351778,0.00303951367781155,2.51116989002828
İSTANBUL,PENDİK,BAHÇELİEVLER MAH.,BAHÇELİEVLER,27,8982,0.02096153693631721,8.697003062109042,0.04609096194229486,0.08407383640425302,0.0,0.24310046382827905,8.783971249239,0.09656038599395668,0.0,0.0029585798816568047,0.015073757566545398,0.10437934409866148,0.006143293257452984,0.006242087837179862,0.32156851068965875,1.6857240606203323,0.015378112946717596,0.08408820229880999,0.0,0.0,0.012465215921012851,0.0,0.0177956293521369,0.03620362004841094,0.0,0.0,1.1921832852664827,0.02399518812930166,0.7762358149996444,0.3995618367483129,0.0,0.8293130782618828,0.00891888472749733,3.4900100008951584
İSTANBUL,PENDİK,BALLICA MAH.,BALLICA,2,412,0.004901960784313725,0.8206070889894419,0.0,0.004807692307692308,0.0,0.004807692307692308,0.4665346907993967,0.014611613876319759,0.0,0.0,0.0,0.01932503770739065,0.004807692307692308,0.0,0.029317496229260935,0.20352564102564102,0.0,0.004901960784313725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043740573152337855,0.0,0.10652337858220211,0.014423076923076924,0.0,0.038838612368024134,0.0,0.21832579185520362
İSTANBUL,PENDİK,BATI MAH.,BATI,29,9658,0.002932551319648094,6.062206618840493,0.03389136246325471,0.03308396340948082,0.006044282127368181,0.17857550223821028,13.489106960253224,0.051177884357913775,0.002967359050445104,0.0,0.009048002637746227,0.057111820947320494,0.005796299092388478,0.006035502958579882,0.3276646035662254,1.3124606414538023,0.012333952570982982,0.1594905129083953,0.005934718100890208,0.0,0.015010708970123788,0.0,0.003076923076923077,0.05691769569355468,0.0,0.0,1.471663884380302,0.04482786410999684,0.42460554630630387,0.43052784455443005,0.008875739644970414,0.7850096561039343,0.005997014979050907,3.9976245838840403
İSTANBUL,PENDİK,DOĞU MAH.,DOĞU,34,11031,0.01570388983439938,10.377248029292003,0.036501867560728006,0.07118574356950805,0.0031645569620253164,0.24299755078156296,12.370978333070761,0.10498654210080914,0.006430868167202572,0.0032679738562091504,0.022266432158031174,0.06413857132282405,0.009364850830216372,0.0065069506063294875,0.43916119964240735,1.7153830764353268,0.024807691633423723,0.16948970993674917,0.005991461270763821,0.0,0.0032679738562091504,0.0,0.00607992607992608,0.028061031732236143,0.0,0.0,1.415883957811857,0.03142688126604828,0.8389786123818266,0.7722088357958211,0.003003003003003003,0.8966482051263744,0.018405965701200025,4.296460308214217
İSTANBUL,PENDİK,DUMLUPINAR MAH.,DUMLUPINAR,53,17975,0.07457418781322098,25.94329615291006,0.0654423117028108,0.11239162895765814,0.002793296089385475,0.637593456891073,9.076356834743855,0.34374178177821346,0.0,0.005782713697176331,0.023696711050036866,0.14907375390347097,0.0422045968169974,0.02328577733392903,0.6873720778401681,4.962032908642765,0.053559917769930215,0.1279979390996947,0.015094904800361651,0.0,0.020486774713663388,0.0,0.02007040617489942,0.026464664785691625,0.0,0.002840909090909091,0.8998361760846881,0.03320489130963129,2.158938824165066,2.0575757089093347,0.011592155354907461,1.9199271980304207,0.0029850746268656717,3.4997862649131157
İSTANBUL,PENDİK,EMİRLİ MAH.,EMİRLİ,1,176,0.0,0.30113636363636365,0.0,0.005681818181818182,0.0,0.0,0.3068181818181818,0.0,0.0,0.0,0.0,0.005681818181818182,0.0,0.0,0.011363636363636364,0.14772727272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017045454545454544,0.005681818181818182,0.03409090909090909,0.017045454545454544,0.0,0.056818181818181816,0.0,0.09090909090909091
İSTANBUL,PENDİK,ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,27,8740,0.04091737701697569,10.77119617279348,0.04023326722658138,0.07962504295195999,0.006103678929765886,0.35444157995948217,6.584199174120938,0.32240818477713107,0.0029239766081871343,0.0,0.030502103258857927,0.06156088937102737,0.02462935733782797,0.00932031304703785,0.31905612865081345,2.588659732033958,0.02192119740738999,0.08442338667316639,0.018325954682811178,0.0,0.05184979842337527,0.0,0.028320055089965775,0.01833856678465287,0.0,0.0,0.5503988263097132,0.002898550724637681,0.8897722626065236,2.1659903949029338,0.006573426573426574,0.7137143836445318,0.002898550724637681,1.2087976673682084
İSTANBUL,PENDİK,ESENLER MAH.,ESENLER,65,21726,0.04507841401700356,30.7868711574949,0.07799014372186046,0.13211490978317267,0.006098467945857504,0.7612478414444974,11.125676534707512,0.43007963903621477,0.00579729627544719,0.003076923076923077,0.03323675421489429,0.08329961013499096,0.0511602010198321,0.02130240866768951,0.713591025641274,6.55790739903488,0.036036094725821935,0.12104404901556472,0.04538659689323567,0.002976190476190476,0.03918873764295877,0.0,0.00890643268508068,0.03563761455404271,0.0,0.0029850746268656717,1.4266111215944364,0.03884082571813574,3.459756135493723,3.457595398298737,0.005823909394550787,2.0914669969782116,0.0030864197530864196,3.3901296759324087
İSTANBUL,PENDİK,ESENYALI MAH.,ESENYALI,28,9212,0.02150664372027223,13.734826536575499,0.04948311174527431,0.09778906812685878,0.006010396361273554,0.28354473772310873,4.8297910621037365,0.1990304979952239,0.0,0.0,0.015540167027982634,0.0877198767548662,0.018788097609281563,0.00590016708437761,0.32756699200885836,2.6341613520518163,0.01842077237338159,0.070648449300337,0.01828298283616695,0.003278688524590164,0.012439933539024266,0.003278688524590164,0.02501926440379388,0.01510993581710287,0.0,0.0030864197530864196,0.44518501235775837,0.012041937868059033,1.2742803234348643,0.9118761756195639,0.003134796238244514,1.0474722037105808,0.0,1.8247857088104256
İSTANBUL,PENDİK,FATİH MAH.,FATİH,42,13805,0.04837964677864876,18.661046009892555,0.039882530621437456,0.06988257141875814,0.012007478159433394,0.3690512455583013,8.612211903265878,0.2676814865870438,0.0030303030303030303,0.0030959752321981426,0.015265038098149563,0.12131490059032021,0.018304316625154915,0.018954702362830995,0.36254799915539765,3.878171322722179,0.015445950242980098,0.10163122816647215,0.0030211480362537764,0.0,0.048004030039194956,0.0,0.024417509382079584,0.060897679126721824,0.0,0.0,1.043106811171815,0.04284640398415842,1.7774767538568368,3.219488755561432,0.005961900700145716,1.31771425715263,0.0,1.8391601424806914
İSTANBUL,PENDİK,FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,77,25597,0.07264564452438668,37.799338181103955,0.13218326011374681,0.2210068542473849,0.012033236335226608,1.0714886650462647,11.703829039531955,0.5677289070095283,0.0,0.003115264797507788,0.023687193655394918,0.15000973104997153,0.036176520069897536,0.03615519988649822,0.9420901588409882,7.629820315687377,0.05457404255133264,0.13532940480842792,0.02425329743120278,0.006211180124223602,0.039401786508595,0.0029585798816568047,0.012202774398082641,0.04281330357669728,0.006007360369461683,0.0,1.3456953084971142,0.039549556778661406,4.123455609087124,2.916703035360501,0.012103348397331114,2.6391054913482046,0.008824143692564745,5.189503605288735
İSTANBUL,PENDİK,GÖÇBEYLİ MAH.,GÖÇBEYLİ,3,931,0.0,1.6074836895271774,0.009626022312520032,0.016139871997683963,0.003236245954692557,0.03543327439850285,0.34192541125138287,0.03862816257741659,0.0,0.0,0.0,0.00966738008829885,0.0,0.012903626042991407,0.025848609861761636,0.39001416503820424,0.0,0.003236245954692557,0.0,0.0,0.003194888178913738,0.0,0.0,0.0,0.0,0.0,0.03539191662272403,0.003194888178913738,0.19318217066286175,0.05161450417196563,0.0,0.09683923198610378,0.0,0.1224396951931925
İSTANBUL,PENDİK,GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,35,11976,0.04387340884045281,15.631174332625255,0.02635082349719272,0.07059819480267225,0.0028735632183908046,0.42314218513665625,7.239300497437593,0.18468352541829108,0.002976190476190476,0.0,0.017420388864750246,0.09055468978891713,0.01751220999389453,0.020924634788789746,0.3272861989283074,3.2754030032102004,0.029436945053674852,0.06473769573383516,0.002840909090909091,0.0029069767441860465,0.017723884634082657,0.0029850746268656717,0.0,0.023405557941758,0.0,0.003067484662576687,0.7356016312971395,0.0411003471218224,1.6542106372170555,1.676775401101229,0.008747148782821821,1.3333079027250447,0.0,2.0290785562394453
İSTANBUL,PENDİK,GÜZELYALI MAH.,GÜZELYALI,69,22998,0.07908503535288045,28.785357369062154,0.12100122520324341,0.15511879558696695,0.009260342340234725,0.7770836948698447,17.01388243092929,0.3098103839625346,0.0,0.003389830508474576,0.03427501477656134,0.16807211358755147,0.018040034115990138,0.0029411764705882353,0.8549142637638627,5.5488848510512865,0.07214133352497838,0.18732871792852163,0.02073806428782615,0.0029154518950437317,0.04045082363811454,0.0,0.0297696022592315,0.07742848846176666,0.002976190476190476,0.0060417729824305605,2.018247465991727,0.024439910304120755,2.5361201235583044,2.2567102984907423,0.006514830508474576,2.407791678234997,0.0030581039755351682,5.426210581900529
İSTANBUL,PENDİK,HARMANDERE MAH.,HARMANDERE,18,5802,0.0034602076124567475,5.122025807204331,0.0128085912748648,0.037413002430984055,0.006201684550594208,0.173419258990438,6.615464997779028,0.05220705359049546,0.0030864197530864196,0.0,0.01218756677894154,0.018840138210272833,0.013086217349217586,0.006145103739923351,0.2378756624881622,0.9924326200522153,0.012398509274442434,0.05686120967889421,0.0,0.0,0.015348082691745804,0.003048780487804878,0.01535847969246737,0.021639091029100894,0.0,0.0,0.9632425765201651,0.01532169626285219,0.4413280462780043,0.6141239688694334,0.0030581039755351682,0.6212580286898871,0.003105590062111801,1.9072535046825443
İSTANBUL,PENDİK,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1,31,0.0,0.1935483870967742,0.0,0.0,0.0,0.0,0.25806451612903225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16129032258064516,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03225806451612903,0.16129032258064516,0.0,0.0,0.0,0.16129032258064516
