il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AK PARTİ,BBP,BTP,CHP,DP,DSP,HDP,SAADET,TKP,VATAN PARTİSİ
İSTANBUL,PENDİK,AHMET YESEVİ MAH.,AHMET YESEVİ,53,14467,25.252177966955262,0.501665801530341,0.08467677430072622,23.128273909755492,0.07328265000374941,0.15147895904495198,2.6768522411973494,0.9955890224107009,0.0586662628562368,0.07733641194519014
İSTANBUL,PENDİK,BAHÇELİEVLER MAH.,BAHÇELİEVLER,28,7697,12.759382674442643,0.2942277356349224,0.06741729863701942,13.436032551116911,0.03999631496502452,0.08961875694547561,0.18553427343041237,1.021293165652603,0.04256480223447574,0.06393242694051292
İSTANBUL,PENDİK,BALLICA MAH.,BALLICA,2,467,1.2508345255126372,0.004291845493562232,0.004291845493562232,0.6721323502439382,0.0,0.004291845493562232,0.0,0.042771725175158655,0.0,0.021385862587579327
İSTANBUL,PENDİK,BATI MAH.,BATI,33,8996,9.191577416517038,0.19377395865298352,0.04612319484062075,21.96091741255858,0.08755989070033372,0.23560445553685963,0.16660462933721,0.7781060730856301,0.12677094601294667,0.21296202275779874
İSTANBUL,PENDİK,DOĞU MAH.,DOĞU,35,9643,14.000914990748404,0.2541491817033128,0.0959728322846051,18.579391877085516,0.07965906930175887,0.11669798947727578,0.25235357411604414,1.4613318764434216,0.07161048379391458,0.08791812504574878
İSTANBUL,PENDİK,DUMLUPINAR MAH.,DUMLUPINAR,52,14601,32.80399227032068,0.5232238000065876,0.11134004489239624,15.972071131729187,0.09762635851020371,0.1793926877120621,0.8158805769234828,1.326513548357405,0.07002602843725354,0.09993355311074648
İSTANBUL,PENDİK,EMİRLİ MAH.,EMİRLİ,1,175,0.5828571428571429,0.005714285714285714,0.011428571428571429,0.34285714285714286,0.005714285714285714,0.0,0.011428571428571429,0.03428571428571429,0.0,0.005714285714285714
İSTANBUL,PENDİK,ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,30,8347,15.45870971009988,0.3107702261799659,0.05744579112168482,12.36185325971206,0.03576385491292933,0.11089448270195662,1.1317249674701693,0.46849565365534374,0.028944388392797456,0.03539766575321276
İSTANBUL,PENDİK,ESENLER MAH.,ESENLER,63,17639,41.84362631976316,0.6482423190309964,0.16445914707592083,16.748423938621244,0.14368128763919255,0.11433867161679973,1.2310775583918057,1.974793549279218,0.07435369615109443,0.05700351243056984
İSTANBUL,PENDİK,ESENYALI MAH.,ESENYALI,28,7629,18.646862202966293,0.36200796613792136,0.0805712707078829,7.614629324165208,0.0215257219716493,0.09535172605597647,0.3598453095920741,0.7564327871046053,0.04019149902568968,0.02258219227269852
İSTANBUL,PENDİK,FATİH MAH.,FATİH,41,11367,24.691478968812486,0.4172671247049849,0.09674504034991398,13.317934403680905,0.04360435828968723,0.14800601368800778,1.1899208325718242,0.952814076541937,0.08499753746340374,0.05723164389685035
İSTANBUL,PENDİK,FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,74,21045,51.26556721535829,0.8460658996622473,0.1911457788729699,17.25657642707609,0.09466144140286523,0.24450480168486072,0.9809616749522481,2.8995142872450708,0.10179902056806624,0.11920345317729357
İSTANBUL,PENDİK,GÖÇBEYLİ MAH.,GÖÇBEYLİ,3,907,2.146372351253924,0.029801758747708636,0.003289473684210526,0.7377424386470566,0.0,0.003289473684210526,0.006644518272425249,0.06290420915989342,0.0,0.009955776550570944
İSTANBUL,PENDİK,GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,30,8400,18.68767341235039,0.27048044815516237,0.107937235866477,9.403349248026663,0.04637102613634658,0.1100348950193308,0.5288328447895828,0.7813948361646406,0.042918238319421986,0.021007815171986306
İSTANBUL,PENDİK,GÜZELYALI MAH.,GÜZELYALI,69,19424,39.05526811003987,0.7364126041394625,0.2175429098754655,25.54393785587902,0.08805323913216154,0.19267505566554355,0.7102057616744164,2.2567090762524384,0.09900598509339902,0.10018940224822465
İSTANBUL,PENDİK,HARMANDERE MAH.,HARMANDERE,16,4412,6.179588603859268,0.1703037164263423,0.03606380862366487,8.772269324098387,0.022142952417720983,0.0619157241102724,0.15943391147659952,0.47860925580546754,0.07261249865105213,0.04706020453122549
İSTANBUL,PENDİK,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1,12,0.3333333333333333,0.0,0.0,0.5,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0
İSTANBUL,PENDİK,KAVAKPINAR MAH.,KAVAKPINAR,116,32615,67.43852014440301,0.863882285265324,0.3137739030052285,37.89000009434063,0.132608404691372,0.33212738151894283,5.9054957660769825,2.8928142426367387,0.10243353609174259,0.12834424197003355
İSTANBUL,PENDİK,KAYNARCA MAH.,KAYNARCA,99,27663,55.599779344044734,0.925764049797587,0.3248587752319179,35.375143034595325,0.15622731216964855,0.36819568202984254,2.0254682306945955,3.804682790447052,0.16374355033812066,0.25613723065117716
İSTANBUL,PENDİK,KURNA MAH.,KURNA,3,697,1.7835599654045744,0.00881782945736434,0.009302325581395349,0.9855331859824461,0.023255813953488372,0.008783394195656352,0.08544589659811647,0.06475030431161509,0.00881782945736434,0.02173345505797937
İSTANBUL,PENDİK,KURTDOĞMUŞ MAH.,KURTDOĞMUŞ,2,446,1.1928871723694003,0.01337678273288677,0.0,0.7671434031339891,0.0,0.0,0.0,0.01762114537444934,0.008971496389274435,0.0
İSTANBUL,PENDİK,KURTKÖY MAH.,KURTKÖY,64,17417,35.41858787179978,0.9209090911503897,0.21420018771879595,23.33274591549037,0.12597295787176938,0.27969033478596356,1.3274378522472206,2.0388500195483816,0.2127098308751654,0.12889593851215944
İSTANBUL,PENDİK,ORHANGAZİ MAH.,ORHANGAZİ,55,15180,35.82818914629699,0.6184430221744632,0.29696641732276424,15.359002950590767,0.10086972016399436,0.1776547403383074,0.863273327079226,1.6397486602818594,0.057507251628114125,0.058344764123512693
İSTANBUL,PENDİK,ORTA MAH.,ORTA,13,3558,7.459055274450604,0.13463466375021543,0.0436191109761154,4.758944085341078,0.025907635809529893,0.07599755358228584,0.08400568046822977,0.3750775358855595,0.018045579574478346,0.02471288016190467
İSTANBUL,PENDİK,RAMAZANOĞLU MAH.,RAMAZANOĞLU,6,1702,2.5958593852961904,0.04940982127268597,0.017428497499960532,2.9631364479766655,0.010816499917576494,0.0036900369003690036,0.2011540070283258,0.13368899779212146,0.021295179555541742,0.0035211267605633804
İSTANBUL,PENDİK,SANAYİ MAH.,SANAYİ,7,2025,3.395521837471252,0.05534899025810557,0.013682055698018192,2.9098304171013143,0.017557790699165216,0.02034656753638726,0.21620052285367397,0.34057610126151383,0.013542216745878072,0.017393500374691825
İSTANBUL,PENDİK,SAPAN BAĞLARI MAH.,SAPAN BAĞLARI,25,7047,9.787625024845887,0.1993106635657851,0.024442050556076404,13.860332685505169,0.07491646144254598,0.13791136934182532,0.20331174711797692,0.5678418913520771,0.07774308912485942,0.06656501714779853
İSTANBUL,PENDİK,SÜLÜNTEPE MAH.,SÜLÜNTEPE,47,13134,22.523847239759966,0.4541253236536915,0.06841669744220674,19.6802723915279,0.06808124979541817,0.16930025024685044,2.6556489448768694,1.221633936425985,0.09414733274623575,0.06452663352487448
İSTANBUL,PENDİK,VELİBABA MAH.,VELİBABA,74,20268,45.83046374009584,1.0272244355607612,0.2013300749509703,22.612564863566952,0.15538727880322298,0.22983294903416068,1.5941074741868828,2.1153214580917394,0.13847739401517348,0.09529033169429629
İSTANBUL,PENDİK,YAYALAR MAH.,YAYALAR,25,6837,13.096648914900165,0.2777950402648429,0.05799994038781551,9.979198041629374,0.03332828680357258,0.11075296421235674,0.5175276086616953,0.8288565193345238,0.04511196605470108,0.05278071775095492
İSTANBUL,PENDİK,YENİ MAH.,YENİ,35,9785,12.219630145109564,0.20313311064956419,0.05081349240948062,20.845992146059316,0.0395636915713101,0.18175517668009675,0.2018063209172038,1.1025122008197843,0.07119801002242661,0.08359570576125214
İSTANBUL,PENDİK,YENİŞEHİR MAH.,YENİŞEHİR,121,32246,43.97553220379912,1.4120657985773823,0.26798171985763775,68.427832388246,0.18433787769164844,0.4694472595174546,1.990795327971726,3.385277547812711,0.5440464519923998,0.3426834245339254
İSTANBUL,PENDİK,YEŞİLBAĞLAR MAH.,YEŞİLBAĞLAR,13,3824,5.518311127013491,0.0641072681231654,0.006493506493506494,6.758774038534115,0.02071643702330451,0.03728549088026466,0.125691923945333,0.417208697779278,0.01048010709246373,0.04093140311507841
İSTANBUL,PENDİK,ÇAMLIK MAH.,ÇAMLIK,31,8781,15.94179856970047,0.43840485509181476,0.06161435735311964,11.908810207337021,0.06159118804034005,0.07394483113918447,0.47198055011004764,1.8612226648463739,0.0707464788859939,0.10988629749563524
İSTANBUL,PENDİK,ÇAMÇEŞME MAH.,ÇAMÇEŞME,63,17818,44.50215522152961,0.6964622505838303,0.12996490077464184,14.42309906739878,0.13730991309215515,0.1955580520254769,0.6580112172362556,2.093722757255325,0.07109954385473066,0.09261707624919274
İSTANBUL,PENDİK,ÇINARDERE MAH.,ÇINARDERE,42,11161,23.785224024361025,0.5510097564631476,0.12598092852003331,15.606741647668427,0.059582716081530165,0.21412063252542204,0.47685041784286963,1.0088155068556377,0.0867776720968163,0.08489669758509197
İSTANBUL,PENDİK,ŞEYHLİ MAH.,ŞEYHLİ,36,9922,21.181796874239748,0.3744877321326662,0.07301599557904193,12.126747504256114,0.0909552084716706,0.1164985683486176,0.5404266605507951,1.3722999642592046,0.06166782095446358,0.06210367120767948
