il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,ABDULCELİL GÜLAP,AHMET ÇÖRDÜK,AK PARTİ,ALİ RIZA KANSIZ,BURAK KADIOĞLU,BURHAN EROL,CHP,DOĞAN DUMAN,DURSUNALİ BACIOĞLU,FATMA RAGİBE KANIKURU LOĞOĞLU,GÜLDES ÖNKOYUN,HASAN ATASOY TORUN,LÜTFÜ YILMAZ,MEHMET YILDIZ,MEMET ALİ AYDOĞMUŞ,MUHAMMET ALİ CANCA,SAADET,SEÇKİN İLKER,VATAN PARTİSİ,VEDAT ÖZTÜRK,ÖZKAN MUSTAFA KÜÇÜKKURAL
İSTANBUL,PENDİK,GÜZELYALI MAH.,GÜZELYALI,69,19680,0.0,0.007017543859649123,37.75470402924103,0.0035971223021582736,0.0036231884057971015,0.0,30.5707690825188,0.0,0.006896633729295235,0.010366881752330095,0.0,0.0034129692832764505,0.006968725718725718,0.0,0.0,0.0,0.5316467280971421,0.006921161030750071,0.09407593406104456,0.0,0.0
İSTANBUL,PENDİK,HARMANDERE MAH.,HARMANDERE,16,4543,0.0,0.0033444816053511705,5.6321172225002885,0.0,0.0,0.0,10.172965838734731,0.003484320557491289,0.007072789753202124,0.0,0.0,0.0,0.0,0.0,0.0036363636363636364,0.0035211267605633804,0.13462655047908337,0.0034482758620689655,0.0357830301108566,0.0,0.0
İSTANBUL,PENDİK,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1,25,0.0,0.0,0.4,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,KAVAKPINAR MAH.,KAVAKPINAR,116,32991,0.0,0.011288380621567241,67.47977772588405,0.0,0.006722859983729549,0.0033222591362126247,47.406496167767976,0.0,0.02117128907061895,0.0035460992907801418,0.0033222591362126247,0.0035587188612099642,0.006993006993006993,0.0033783783783783786,0.0,0.003424657534246575,0.7931528753129873,0.06521244560133385,0.18533254639469227,0.0033003300330033004,0.0
İSTANBUL,PENDİK,KAYNARCA MAH.,KAYNARCA,99,28134,0.0,0.0036231884057971015,53.66647838775701,0.0,0.003676470588235294,0.0,44.33849804203904,0.007286192068800764,0.03161541946859499,0.010735878989925575,0.0,0.0,0.02465317945103373,0.0,0.0,0.0,0.7188258714680057,0.017453025842563114,0.17362077501640172,0.0035335689045936395,0.0
İSTANBUL,PENDİK,KURNA MAH.,KURNA,3,708,0.0,0.0,1.6825253252018593,0.0,0.0,0.0,1.2705314009661834,0.0,0.0,0.004347826086956522,0.0,0.0,0.0,0.0,0.0,0.0,0.025436743146682504,0.0,0.012810878511361604,0.0,0.004347826086956522
İSTANBUL,PENDİK,KURTDOĞMUŞ MAH.,KURTDOĞMUŞ,2,425,0.0,0.0045871559633027525,1.0601427115188584,0.0,0.0,0.0,0.9164339848424412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018836147675397777,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,KURTKÖY MAH.,KURTKÖY,64,17770,0.0,0.0038022813688212928,33.87599970480278,0.0035087719298245615,0.0034129692832764505,0.0074386450051849295,29.54136982888406,0.0,0.010964540491412518,0.0,0.00390625,0.0,0.010909956526757204,0.0,0.0,0.0035460992907801418,0.44462036344548583,0.007555492316448491,0.0829650966551668,0.0,0.0
İSTANBUL,PENDİK,ORHANGAZİ MAH.,ORHANGAZİ,55,15321,0.0,0.0,35.10678992117725,0.0034129692832764505,0.0,0.0,19.3829994152905,0.0036101083032490976,0.010977714267866067,0.0035460992907801418,0.0,0.0,0.0,0.0,0.0034129692832764505,0.0035842293906810036,0.40966045521673766,0.0038461538461538464,0.060643606346975715,0.0036101083032490976,0.00390625
İSTANBUL,PENDİK,ORTA MAH.,ORTA,13,3562,0.0,0.0,7.266143311157933,0.0,0.0034482758620689655,0.0,5.583342708473015,0.0,0.0,0.003676470588235294,0.0,0.0,0.0,0.003952569169960474,0.0,0.0,0.11305162552518569,0.015462676914377842,0.007285998672859987,0.0036363636363636364,0.0
