il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AK PARTİ,BBP,BTP,CHP,DP,DSP,HAK-PAR,HDP,HKP,KP,LDP,MHP,MİLLET,SAADET,SEÇKİN İLKER,VATAN PARTİSİ
İSTANBUL,PENDİK,AHMET YESEVİ MAH.,AHMET YESEVİ,46,14599,22.83867499827186,0.17205395765686618,0.04134570514794651,12.154159008096013,0.024981081066608804,0.021773469230677876,0.12278864068720534,7.096940407267669,0.06060338495435298,0.03836348540085499,0.037822144410715776,2.9402302180879563,0.0030864197530864196,0.3555590009436552,0.012636011606667517,0.0789820674178644
İSTANBUL,PENDİK,BAHÇELİEVLER MAH.,BAHÇELİEVLER,26,8137,11.823566235376394,0.085518564763595,0.019195291818878045,9.030834792156812,0.029300450099241523,0.013120512062179939,0.041139285078786836,0.7134105220553215,0.028806334094111496,0.025507482190630003,0.006546627365543167,3.8643298180936463,0.0,0.23067542722281553,0.003076923076923077,0.08497173454512227
İSTANBUL,PENDİK,BALLICA MAH.,BALLICA,1,304,0.6217105263157895,0.009868421052631578,0.0,0.2532894736842105,0.0,0.0,0.006578947368421052,0.01644736842105263,0.0,0.0,0.0,0.08223684210526316,0.0,0.009868421052631578,0.0,0.0
İSTANBUL,PENDİK,BATI MAH.,BATI,33,10651,9.328830225311718,0.06562191932163945,0.00916589434661724,17.990029345139714,0.02772874878574183,0.0357753258731128,0.06191561701948319,1.162991104001405,0.008910960834037756,0.03458765716379871,0.024021414689601873,3.843500913988454,0.0,0.18486473561537717,0.0,0.22205613790929746
İSTANBUL,PENDİK,DOĞU MAH.,DOĞU,34,11099,14.167041737295428,0.15637094992965034,0.024490191050892618,13.959022540318683,0.01201726076077891,0.015311527798320654,0.05845951542170292,1.0601335279720943,0.03424706539090392,0.018484595014913938,0.018054527214614903,4.057973655915497,0.0,0.30086671603941645,0.0,0.11752618987710312
İSTANBUL,PENDİK,DUMLUPINAR MAH.,DUMLUPINAR,48,15690,31.75601738215708,0.22519114368153123,0.036740204635239755,7.476223510598166,0.05339025610500501,0.042985242526383964,0.16403715451495443,2.311305173896078,0.06857512041509067,0.05776262217681236,0.043547538892817345,5.2149831154961985,0.018302828015057504,0.447206472635819,0.0029585798816568047,0.08077365437210951
İSTANBUL,PENDİK,EMİRLİ MAH.,EMİRLİ,1,180,0.5444444444444444,0.0,0.0,0.2,0.0,0.0,0.0,0.016666666666666666,0.0,0.0,0.0,0.23333333333333334,0.0,0.005555555555555556,0.0,0.0
İSTANBUL,PENDİK,ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,29,9358,15.692285608687952,0.1794206850410636,0.027765785817454404,7.08148849216519,0.028200515153479922,0.04267197859100733,0.11760741400209618,2.850759022200086,0.062227675101598254,0.024414073813038808,0.024282271681061056,2.492336723784744,0.00612593343089797,0.31992611590167264,0.0065951916829109815,0.04389251294574725
İSTANBUL,PENDİK,ESENLER MAH.,ESENLER,56,18344,38.2074036369003,0.320759402263843,0.061127223800782816,8.218199922386269,0.030630358585602042,0.009095181830233653,0.07913492157271444,3.5716844566020205,0.055231928311467046,0.03988298206187886,0.033379622382453664,4.6122798117220425,0.012392498805542284,0.7002433093812683,0.012329240863597787,0.03622550252998136
İSTANBUL,PENDİK,ESENYALI MAH.,ESENYALI,25,8374,17.217072328679183,0.1371637005118876,0.014668326748414302,3.721229561243522,0.014835613202356377,0.011951471999192042,0.03251455416639542,0.943226600799873,0.03588470086333904,0.011852058417685551,0.012107073401722793,2.508964008271815,0.006094506595424946,0.29339529278485804,0.002967359050445104,0.03607284326388453
