il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,ABDULCELİL GÜLAP,AHMET ÇÖRDÜK,AK PARTİ,ALİ RIZA KANSIZ,AYSEL TEKEREK,BTP,BURAK KADIOĞLU,BURHAN EROL,CHP,DOĞAN DUMAN,DP,DSP,DURSUNALİ BACIOĞLU,FATMA RAGİBE KANIKURU LOĞOĞLU,GÜLDES ÖNKOYUN,HALEF ALP,HASAN ATASOY TORUN,HAZER ORUÇ KAYA,HÜSEYİN KARABULUT,LÜTFÜ YILMAZ,MEHMET CELAL BAYKARA,MEHMET YILDIZ,MEMET ALİ AYDOĞMUŞ,MUHAMMET ALİ CANCA,ORUÇ KARACIK,SAADET,SEÇKİN İLKER,TKP,VATAN PARTİSİ,VEDAT ÖZTÜRK,ÖZGE AKMAN,ÖZKAN MUSTAFA KÜÇÜKKURAL
İSTANBUL,PENDİK,AHMET YESEVİ MAH.,AHMET YESEVİ,53,14395,0.007236136191149146,0.00390625,25.572589742315326,0.0,0.010817805383022775,0.1221116311389792,0.0,0.003663003663003663,26.283744521059987,0.0072083538977063145,0.10036635238317236,0.12569324168801607,0.0,0.0,0.007233296709046199,0.0034965034965034965,0.0072203107079553755,0.0035335689045936395,0.007195734327276492,0.003436426116838488,0.0,0.0074090335327369515,0.0,0.0,0.0,0.6114745752196862,0.0,0.01816131896777058,0.08223215690349078,0.0,0.011270037393740813,0.0
İSTANBUL,PENDİK,BAHÇELİEVLER MAH.,BAHÇELİEVLER,28,7651,0.0,0.0,12.941656788653303,0.0,0.010860329261816251,0.09596958580528503,0.003472222222222222,0.0,14.283519190832566,0.011511680840618247,0.06005729117443189,0.044188691019886095,0.0038022813688212928,0.003663003663003663,0.0,0.0,0.0,0.0,0.0036101083032490976,0.01091644204851752,0.0,0.007492318269190296,0.0,0.013705694878493149,0.0,0.42557241166388804,0.0,0.0034129692832764505,0.07304289142065185,0.0,0.0035460992907801418,0.0
İSTANBUL,PENDİK,BALLICA MAH.,BALLICA,2,485,0.0,0.0,1.2104922940836254,0.0,0.0,0.008097165991902834,0.0,0.0,0.7358044432347839,0.0,0.0,0.004048582995951417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025056986357295957,0.0,0.0,0.016500527336440647,0.0,0.0,0.0
İSTANBUL,PENDİK,BATI MAH.,BATI,33,8987,0.0,0.0,9.458662704072403,0.0,0.0,0.11665797288922061,0.0,0.0,22.850136016351982,0.003875968992248062,0.04393570120214268,0.07962546593895278,0.0069699950214321274,0.0,0.0,0.0,0.007957685324070419,0.0036231884057971015,0.0,0.0,0.0,0.0041841004184100415,0.0,0.0,0.0,0.2598535479863884,0.0,0.044001792051658495,0.11700708941547107,0.0,0.0035087719298245615,0.0
İSTANBUL,PENDİK,DOĞU MAH.,DOĞU,35,9629,0.0,0.0,14.307239831771268,0.0,0.0033783783783783786,0.10022028819234581,0.0035460992907801418,0.007092287765803604,19.724698884417133,0.010575909739011841,0.07861075469782006,0.05896291596395504,0.0,0.0035460992907801418,0.0035714285714285713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035335689045936395,0.0033783783783783786,0.5902225838828844,0.0,0.02206253033016721,0.0687592654693344,0.0035335689045936395,0.0070672260513435226,0.0
İSTANBUL,PENDİK,DUMLUPINAR MAH.,DUMLUPINAR,52,14598,0.0,0.0,33.64096463796044,0.0034602076124567475,0.0,0.13308355627778487,0.0033783783783783786,0.0036231884057971015,16.957967170257813,0.003401360544217687,0.08509250032401092,0.1859758853521223,0.0,0.0,0.0,0.0,0.0,0.006872852233676976,0.003472222222222222,0.00690864833906071,0.0,0.0,0.0,0.0,0.0,0.7839657197112674,0.007651568352059926,0.052376587458023365,0.09369468285219172,0.0,0.028110833718482255,0.0
İSTANBUL,PENDİK,EMİRLİ MAH.,EMİRLİ,1,177,0.0,0.0,0.6384180790960452,0.0,0.0,0.005649717514124294,0.0,0.0,0.3446327683615819,0.0,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,30,8331,0.0,0.0,16.13898369293961,0.0,0.0032679738562091504,0.08171058012212788,0.0,0.006736756149841788,13.195743347917741,0.0,0.08609262707580832,0.09767341754081936,0.0,0.0,0.0033003300330033004,0.0,0.0,0.0,0.0,0.0035587188612099642,0.0,0.007373709940249864,0.0,0.0,0.0,0.27573437153436947,0.0,0.05031111182523784,0.04951336220377167,0.0,0.0,0.0
İSTANBUL,PENDİK,ESENLER MAH.,ESENLER,63,17635,0.0037313432835820895,0.010601059695628166,42.89886542334414,0.0,0.0035460992907801418,0.19377736999255785,0.0,0.0,18.42610755104214,0.010859576230600965,0.14634396157529497,0.10627744618867267,0.0,0.003355704697986577,0.003367003367003367,0.0,0.0034965034965034965,0.007092287765803604,0.0075049281892424664,0.010626650929142032,0.0,0.007388222464558342,0.0,0.007350362797723411,0.0,1.0330631686935765,0.0,0.04269600250356217,0.04887329317017619,0.014437121918860447,0.010638919362463098,0.0
İSTANBUL,PENDİK,ESENYALI MAH.,ESENYALI,28,7609,0.0,0.003663003663003663,18.92234629246069,0.0,0.0035842293906810036,0.07414978656246515,0.003676470588235294,0.0,8.324604943883587,0.0037174721189591076,0.05825284952679789,0.07683855086677338,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.003875968992248062,0.004,0.0,0.44680919327347923,0.0,0.0222029020709415,0.03355660932507539,0.0036231884057971015,0.011098538871263497,0.0
