il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AHMET TUNCAY ÖZKAN,AK PARTİ,BBP,BÜLENT BOZKURT,CHP,DP,DSP,DYP,ERTUĞRUL KORKUT ERENKUL,FATMA BENAL YAZGAN,HAS PARTİ,HEPAR,LDP,MHP,MMP,MUHAMMET GULAMOĞLU,MİLLET,NAMIK KURNAZ,SAADET,SADUN MUHLİS ALTUNCUOĞLU,SEBAHAT TUNCEL,TAMER AYDEMİR,TKP,TUFAN SEVİM,TURGUT ÖKER,İBRAHİM ÇİÇEK
İSTANBUL,PENDİK,AHMET YESEVİ MAH.,AHMET YESEVİ,42,10648,0.019267069770222023,19.103327038136545,0.2336542101232809,0.007877068118031974,14.39964622900671,0.14647931215691556,0.12521992990536443,0.02823481362587551,0.00818766325095439,0.016065226810846205,0.16527980733898054,0.06747631217564141,0.004098360655737705,2.9754550230362113,0.020229079177795723,0.004032258064516129,0.08755728732336923,0.10822969454034005,0.7547950330763008,0.020200130494111252,3.4106895591970825,0.007692762885377832,0.13478567504971656,0.02072790305998658,0.10664227543150216,0.024150277588583274
İSTANBUL,PENDİK,BAHÇELİEVLER MAH.,BAHÇELİEVLER,29,7175,0.2134090355734081,13.099152323200894,0.14763619663844768,0.003861003861003861,9.613813987497233,0.195318283430547,0.07751819887774526,0.06092106079919904,0.0,0.0,0.2653979159684341,0.17548975290166183,0.0128819326029186,4.3295314221574035,0.0037735849056603774,0.007874624833689161,0.041242528643342165,0.0,0.4874463371510572,0.0045662100456621,0.2047866287483279,0.0,0.03626564274469301,0.0,0.015267175572519083,0.0038461538461538464
İSTANBUL,PENDİK,BALLICA KÖYÜ,BALLICA,1,273,0.003663003663003663,0.6446886446886447,0.007326007326007326,0.0,0.21978021978021978,0.01098901098901099,0.0,0.003663003663003663,0.0,0.0,0.014652014652014652,0.0,0.0,0.08424908424908426,0.0,0.0,0.01098901098901099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,BATI MAH.,BATI,40,9746,0.848958303520979,10.700934872010208,0.15352520020999488,0.0,20.792792609294313,0.17271036884270963,0.09613703048916161,0.06899116531763891,0.008130081300813009,0.0,0.2230975457081916,0.3512427640677794,0.004484304932735426,5.712116482535351,0.007915154548867476,0.004484304932735426,0.10331781996691779,0.020001295630486186,0.407766215524049,0.0,0.204269510649963,0.004484304932735426,0.06802892371217459,0.0,0.015915339290640332,0.030696402581555697
İSTANBUL,PENDİK,DOĞU MAH.,DOĞU,42,10320,0.5725524823532834,16.75985883451029,0.14494085554083963,0.00816326530612245,16.95463245398741,0.1995228301946952,0.09049733216821651,0.0329352022117265,0.0,0.0,0.2766447619380451,0.3955881923053534,0.004149377593360996,5.389367544674516,0.02489026849902515,0.0,0.10625425861638577,0.0,0.7125040977104413,0.008266721322675412,0.22812510937901334,0.004132231404958678,0.06640829888837374,0.0,0.01648424874220634,0.004081632653061225
İSTANBUL,PENDİK,DUMLUPINAR MAH.,DUMLUPINAR,54,13652,0.0952775912472781,34.78868563904442,0.4605113475083904,0.004329004329004329,8.663952616259385,0.23967069715245798,0.2142516514078148,0.10352610685843938,0.003875968992248062,0.012244897959183675,0.46705011762508986,0.20818336326117332,0.02421977196490712,5.987012946967982,0.0239975789496251,0.004,0.09909456457118287,0.016081632653061225,1.2375011304110786,0.008035368529753454,1.208080621775942,0.003968253968253968,0.09074976882843389,0.023477093480377013,0.004329004329004329,0.00789326192551999
İSTANBUL,PENDİK,EMİRLİ KÖYÜ,EMİRLİ,1,161,0.0,0.546583850931677,0.0,0.0,0.18633540372670807,0.012422360248447204,0.0,0.0,0.0,0.0,0.0,0.006211180124223602,0.0,0.2484472049689441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,37,9342,0.052065019676292054,18.03162031514996,0.5278496096619587,0.01565993114803173,10.29097636422356,0.1432329032462426,0.15807029457944044,0.06432315192161556,0.00390625,0.01991307309977604,0.44205052723540295,0.17583906448503875,0.012004610655737706,3.835171995115223,0.06822919765299718,0.008387550553894847,0.12317141413137517,0.016319835277968427,0.876459926112367,0.00772304389312977,1.9198267385649874,0.008403361344537815,0.07525419766761525,0.03176501573433524,0.05925790613157724,0.03251870273693261
İSTANBUL,PENDİK,ESENLER MAH.,ESENLER,55,14061,0.07333697232391471,36.72157941387421,0.3669007465153078,0.0037174721189591076,9.109514377822753,0.12701733328999618,0.07464358356243166,0.03521645552408494,0.003787878787878788,0.0,0.35613946461181484,0.1002496014108769,0.015663274107296878,4.300874165588414,0.027580564187456483,0.0037735849056603774,0.06610438584184804,0.019619648777914906,1.6165698657837304,0.011539933232540236,1.8608266073434467,0.0,0.06604991264008654,0.01934893952850974,0.011848652228966874,0.008097165991902834
İSTANBUL,PENDİK,ESENYALI MAH.,ESENYALI,28,7111,0.05547733385696114,18.8034932938846,0.14821458066536397,0.0037735849056603774,4.475853706987262,0.07916159129885712,0.031019963593655782,0.027251869237248722,0.0,0.0,0.21254794118592843,0.0931964576978686,0.011752986251972053,2.483556586536457,0.008081632653061225,0.0,0.05120019014734773,0.007865376889081187,1.058499958630882,0.004032258064516129,0.39420490397066166,0.003816793893129771,0.04307742102203491,0.0,0.00392156862745098,0.0
