il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AB PARTİ,ABDULLAH ARLİ,ABP,ADEM BAYRAKTAR,AHMET BİRİKMEN,AHMET SOYTÜRK,AK PARTİ,ANAP,ATAKAN BOZYAYLA,BTP,BURAK EMRE ÇETİN,BİLEN AKPINAR,CEMAL TARANCI,CHP,DEM Parti,DEVA PARTİSİ,DSP,FATMA RAGİBE KANIKURU LOĞOĞLU,GALİP MENTEŞE,GÜVEN AKICI,HABİP AKSU,HAK-PAR,HÜLYA KAVUZLU KARAMAN,HÜSEYİN DURMAZ,MEMET ALİ AYDOĞMUŞ,MEMLEKET,MERVE KARATAŞ,MİLLET,MİLLİ YOL,MİRHAT TEKİN BRUSK,OCAK,ORHAN ÇEBİ,POLAT ERDOĞAN,SAADET,SENA ELEST AKINCI,TKH,TKP,UĞUR ETLİK,VATAN PARTİSİ,VEDAT TAYLAN YILDIZ,VEDAT ÖZTÜRK,YAŞAR POLAT,YENİDEN REFAH,YTP,YÜKSEL ÖZDEN,ZAFER PARTİSİ,ÖMER KARVAN,İSHAK AKBAY,İYİ PARTİ
İSTANBUL,PENDİK,AHMET YESEVİ MAH.,AHMET YESEVİ,63,15910,0.02037412672500287,0.0,0.011658536699655121,0.0,0.0,0.0,24.379465024989177,0.02007358992979908,0.0,0.07897079172728275,0.0,0.0,0.0,31.458800144473315,1.9563833150655476,0.07413653182484502,0.05194082597181989,0.004329004329004329,0.016527929060187123,0.00398406374501992,0.0,0.06998563859849453,0.004166666666666667,0.0,0.004166666666666667,0.06776373008955365,0.0035087719298245615,0.027682218114085153,0.0,0.0,0.00423728813559322,0.0,0.0,0.3929446694760173,0.004149377593360996,0.023154993107129415,0.03543960174017035,0.004032258064516129,0.032351558489846784,0.03517583592791262,0.016078398898074376,0.008421388554003262,2.4507900243234912,0.09024061207932782,0.0,1.2458600490588203,0.0,0.0,0.4032063679457905
İSTANBUL,PENDİK,BAHÇELİEVLER MAH.,BAHÇELİEVLER,29,7855,0.0,0.0,0.011766820171622916,0.0035714285714285713,0.0,0.0,10.484644598187344,0.010817235699311171,0.0,0.022331728304631315,0.0,0.0,0.0,16.32989690786884,0.07788618255608389,0.055147344687130374,0.011491538764266037,0.0,0.0,0.0,0.0,0.02213882797487321,0.0,0.0,0.0,0.05557061957224861,0.003703703703703704,0.014609656686267859,0.0,0.0,0.0,0.0,0.0,0.10108902260291061,0.0,0.0035971223021582736,0.01827653464161954,0.0,0.037165931917582856,0.03620441180668611,0.0035714285714285713,0.0035714285714285713,0.6346831323582156,0.0528570069160678,0.0,0.7756802093217676,0.0,0.0043859649122807015,0.22534121333010096
İSTANBUL,PENDİK,BALLICA MAH.,BALLICA,2,433,0.0,0.0,0.0,0.0,0.0,0.0,1.1172918533691802,0.0,0.0,0.0,0.0,0.0,0.0,0.7160841548243929,0.009345794392523364,0.0045662100456621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004672897196261682,0.0,0.018371527333247983,0.0,0.0,0.0,0.0,0.0091324200913242,0.0,0.0045662100456621,0.0,0.06488712499466565,0.0,0.0,0.0417360133145564,0.0,0.0,0.009345794392523364
İSTANBUL,PENDİK,BATI MAH.,BATI,31,8456,0.0037735849056603774,0.0,0.0037735849056603774,0.0,0.0,0.0,7.4548130959519066,0.0,0.0,0.025689980889947152,0.0,0.0035211267605633804,0.0,21.95840843670349,0.07286927992487202,0.018752365441717857,0.01816328590573851,0.0,0.0,0.0,0.0,0.021764411604385622,0.0,0.0,0.0,0.04131336052247396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11143350186883073,0.0,0.0,0.02961001292239687,0.0,0.03662781332589392,0.010950768828005306,0.0034602076124567475,0.0034129692832764505,0.35577486425306853,0.01805161967262948,0.0,0.6738111509428103,0.0,0.007042253521126761,0.12698232425308917
İSTANBUL,PENDİK,DOĞU MAH.,DOĞU,35,9399,0.0035971223021582736,0.0,0.0,0.0040650406504065045,0.0,0.0037313432835820895,12.145389552559934,0.007407509019328112,0.003424657534246575,0.02595838806422239,0.0,0.0,0.0,20.413591305345133,0.14073558410966547,0.022471927740878566,0.014873592457815431,0.0,0.003424657534246575,0.0,0.0,0.033558494716506945,0.0,0.0,0.0,0.11242976126830445,0.010990584085211868,0.0037174721189591076,0.0,0.0,0.0,0.0,0.0,0.3521521888187519,0.0,0.007399403670979566,0.01863136731567827,0.0,0.011371490912337134,0.011231240138003222,0.0,0.0,0.518640738476037,0.05964957559509963,0.0,0.812583306097105,0.0,0.0,0.25897369618541066
İSTANBUL,PENDİK,DUMLUPINAR MAH.,DUMLUPINAR,58,15249,0.03858478304898152,0.003952569169960474,0.015161784036216439,0.03203335261314001,0.0,0.0,30.9107357851216,0.022593473881102815,0.0036363636363636364,0.04636234360443926,0.0,0.0035587188612099642,0.004048582995951417,20.856963212731827,0.5206261933122923,0.05066104110023624,0.0620232012881018,0.0,0.004048582995951417,0.0,0.0,0.07450105114798086,0.003703703703703704,0.0,0.0,0.14878152710216908,0.008032128514056224,0.019055288524092363,0.0,0.0,0.007909586856955277,0.0,0.0037174721189591076,0.5331754750810245,0.0035714285714285713,0.012665567413796227,0.01915227956482848,0.007729382097079846,0.030855829788110484,0.02695470218759124,0.007812619211108568,0.0,2.4486504469647192,0.0691474446790214,0.00392156862745098,1.5052051557056627,0.008140397132734612,0.003968253968253968,0.4783587026418956
İSTANBUL,PENDİK,EMİRLİ MAH.,EMİRLİ,1,165,0.0,0.0,0.0,0.0,0.0,0.0,0.4303030303030303,0.0,0.0,0.0,0.0,0.0,0.0,0.5151515151515151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012121212121212121,0.0,0.0,0.024242424242424242,0.0,0.0,0.012121212121212121
İSTANBUL,PENDİK,ERTUĞRUL GAZİ MAH.,ERTUĞRUL GAZİ,28,7495,0.011021364726400699,0.003745318352059925,0.01895865966352782,0.007495726735225712,0.0038314176245210726,0.0,10.967778708801676,0.02572343416293272,0.0,0.04820717137967202,0.0,0.003968253968253968,0.0036363636363636364,14.177359861956374,0.3005727381849846,0.02653391070985569,0.02310476750898764,0.0,0.0070335484189967615,0.003436426116838488,0.007323958666240546,0.030475526050003927,0.0036101083032490976,0.0,0.0036231884057971015,0.05258618258674193,0.0036101083032490976,0.007549691472118748,0.003676470588235294,0.0,0.0038461538461538464,0.0,0.0,0.2105091411300575,0.0035587188612099642,0.007156757310390741,0.011158730398229375,0.007968253968253968,0.022938863347235543,0.010830324909747294,0.011608605482525156,0.0,1.218736954649252,0.029574790411058302,0.0036231884057971015,0.4751289937970575,0.003937007874015748,0.0,0.23456060928670988
İSTANBUL,PENDİK,ESENLER MAH.,ESENLER,70,18306,0.030809009936200314,0.0,0.01514870156432921,0.019132775253336422,0.0,0.0,38.94661962369522,0.011400110073960053,0.0,0.07704680084942088,0.01152848007222952,0.007707386616769134,0.0,23.461378600751708,0.9383769309883466,0.04605876911931652,0.014811925426026256,0.0,0.0038314176245210726,0.0,0.0,0.04542631779732164,0.007663285229825154,0.0,0.0,0.15476076289934335,0.018945589108851586,0.030670564197139517,0.0038022813688212928,0.003472222222222222,0.0,0.0,0.0,0.7593953462961838,0.0,0.00769333195247888,0.01157556624408412,0.0,0.011725394355225419,0.06557968920550948,0.02325368698641838,0.003745318352059925,3.205466009208928,0.05864708488166167,0.0,1.5533433915765218,0.0,0.01554107067415052,0.43544255547187094
İSTANBUL,PENDİK,ESENYALI MAH.,ESENYALI,30,7610,0.00390625,0.0,0.01170070791501229,0.0038022813688212928,0.0,0.0,16.35030558562815,0.027698282115205565,0.0,0.015782340568073514,0.0,0.0,0.0,10.139321191839272,0.3642227976889023,0.0319991922071763,0.026767278800891282,0.0,0.004201680672268907,0.0,0.0,0.004081632653061225,0.0,0.0,0.004166666666666667,0.06293873990671178,0.007922314257028112,0.01169109261193023,0.00390625,0.0,0.00390625,0.0036231884057971015,0.0,0.2595515978787613,0.0,0.003968253968253968,0.01948667851187471,0.0,0.004032258064516129,0.011456761361796148,0.0038022813688212928,0.0,1.4359601962678528,0.019662751588477856,0.0,0.9508740336943857,0.0,0.007917507706269852,0.20134395628402335
