il,ilce,secmen,yuzde
İZMİR,ÇİĞLİ,23,0.004
KÜTAHYA,HİSARCIK,23,0.004
İZMİR,SEFERİHİSAR,23,0.004
DENİZLİ,ÇAMELİ,23,0.004
ADIYAMAN,SAMSAT,22,0.004
ÇORUM,OĞUZLAR,22,0.004
İSTANBUL,BAŞAKŞEHİR,22,0.004
ŞIRNAK,GÜÇLÜKONAK,21,0.004
KONYA,ALTINEKİN,21,0.004
SİVAS,ALTINYAYLA/SİVAS,21,0.004
KAHRAMANMARAŞ,ÇAĞLAYANCERİT,21,0.004
KÜTAHYA,ÇAVDARHİSAR,21,0.004
DENİZLİ,BOZKURT,21,0.004
DENİZLİ,HONAZ,21,0.004
TEKİRDAĞ,KAPAKLI,21,0.004
DENİZLİ,GÜNEY,21,0.004
AKSARAY,SULTANHANI,21,0.004
SAMSUN,AYVACIK/SAMSUN,21,0.004
KONYA,DERBENT,21,0.004
UŞAK,ULUBEY/UŞAK,20,0.004
MANİSA,SARIGÖL,20,0.004
ISPARTA,AKSU,20,0.004
AYDIN,YENİPAZAR,20,0.004
ANTALYA,KAŞ,20,0.004
MUĞLA,ORTACA,20,0.004
ESKİŞEHİR,SARICAKAYA,19,0.003
ANTALYA,KEMER,19,0.003
İZMİR,FOÇA,19,0.003
ANTALYA,DÖŞEMEALTI,18,0.003
ELAZIĞ,ARICAK,18,0.003
DENİZLİ,KALE,18,0.003
MUĞLA,ULA,18,0.003
VAN,SARAY/VAN,17,0.003
ANTALYA,GÜNDOĞMUŞ,17,0.003
ANTALYA,AKSU,17,0.003
BALIKESİR,EDREMİT/BALIKESİR,17,0.003
AYDIN,KARPUZLU,17,0.003
KONYA,DEREBUCAK,17,0.003
ISPARTA,ATABEY,17,0.003
DENİZLİ,BAKLAN,17,0.003
İZMİR,BALÇOVA,16,0.003
TEKİRDAĞ,SARAY/TEKİRDAĞ,16,0.003
AYDIN,BUHARKENT,16,0.003
KAYSERİ,ÖZVATAN,16,0.003
ANTALYA,FİNİKE,15,0.003
KIRIKKALE,BAHŞILI,15,0.003
İSTANBUL,BEYLİKDÜZÜ,15,0.003
DENİZLİ,ÇARDAK,15,0.003
ISPARTA,YENİŞARBADEMLİ,15,0.003
ANKARA,PURSAKLAR,15,0.003
ÇANAKKALE,YENİCE/ÇANAKKALE,15,0.003
YALOVA,TERMAL,15,0.003
BURDUR,AĞLASUN,15,0.003
ANKARA,KAZAN,15,0.003
İZMİR,ÇEŞME,14,0.003
İZMİR,KINIK,14,0.003
KIRIKKALE,KARAKEÇİLİ,14,0.003
HAKKARİ,ÇUKURCA,14,0.003
MUĞLA,KAVAKLIDERE,13,0.002
ISPARTA,GÖNEN,13,0.002
AFYONKARAHİSAR,EVCİLER,13,0.002
BURDUR,ÇELTİKÇİ,13,0.002
MUĞLA,DALAMAN,13,0.002
İZMİR,GAZİEMİR,12,0.002
BURSA,HARMANCIK,12,0.002
VAN,EDREMİT/VAN,11,0.002
SİİRT,AYDINLAR,11,0.002
ÇORUM,ORTAKÖY/ÇORUM,11,0.002
MUĞLA,MARMARİS,11,0.002
ÇANAKKALE,GÖKÇEADA,11,0.002
ANTALYA,DEMRE,10,0.002
KARAMAN,KAZIMKARABEKİR,10,0.002
MALATYA,KALE/MALATYA,10,0.002
AFYONKARAHİSAR,KIZILÖREN,9,0.002
ANTALYA,KONYAALTI,8,0.001
HAKKARİ,DERECİK,8,0.001
ÇANAKKALE,AYVACIK/ÇANAKKALE,8,0.001
BURDUR,ALTINYAYLA,7,0.001
KONYA,GÜNEYSINIR,7,0.001
MERSİN,AYDINCIK/İÇEL,6,0.001
İZMİR,GÜZELBAHÇE,6,0.001
DENİZLİ,BEYAĞAÇ,6,0.001
BURDUR,KEMER,4,0.001
ANKARA,GÖLBAŞI/ANKARA,4,0.001
ANTALYA,KEMER/ANTALYA,4,0.001
ÇANAKKALE,BOZCAADA,3,0.001
DENİZLİ,KALE/DENİZLİ,3,0.001
İZMİR,BEYDAĞ,3,0.001
KIRIKKALE,BAHŞİLİ,3,0.001
DENİZLİ,BOZKURT/DENİZLİ,2,0.0
MUĞLA,DATÇA,2,0.0
AFYONKARAHİSAR,BAYAT/AFYON,2,0.0
MANİSA,KÖPRÜBAŞI/MANİSA,2,0.0
TEKİRDAĞ,MERKEZ,2,0.0
AYDIN,MERKEZ,1,0.0
ISPARTA,GÖNEN/ISPARTA,1,0.0
KAHRAMANMARAŞ,MERKEZ,1,0.0
